pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
1431,2659,1492,2552,30.0,66.0
1363,2065,1496,1981,8.0,66.0
1235,2227,1288,2118,30.0,66.0
1854,3410,1957,3234,8.0,89.0
501,989,536,965,8.0,89.0
1479,2381,1539,2276,8.0,89.0
1516,2158,1543,2088,8.0,67.0
1036,1845,1056,1751,8.0,89.0
685,1177,737,1157,8.0,89.0
702,900,671,839,8.0,89.0
1136,1460,1086,1380,8.0,89.0
1614,2096,1569,1966,8.0,89.0
929,1847,1029,1711,2.0,70.0
2446,4181,2636,3973,8.0,67.0
2868,4306,3018,4187,8.0,61.0
345,408,321,382,8.0,67.0
2378,3533,2500,3405,8.0,61.0
943,1338,961,1297,8.0,61.0
1539,2647,1656,2569,8.0,61.0
418,539,408,503,8.0,61.0
1453,1768,1444,1686,8.0,61.0
1517,2875,1559,2720,8.0,61.0
1678,2030,1653,1960,8.0,66.0
808,1117,849,1082,8.0,89.0
395,606,426,570,2.0,70.0
54,58,49,56,28.0,88.0
153,178,137,162,28.0,88.0
159,184,133,157,28.0,88.0
157,195,139,168,28.0,88.0
347,394,310,372,28.0,88.0
78,82,75,82,28.0,88.0
749,884,708,844,22.0,68.0
799,924,747,873,22.0,68.0
51,63,46,57,22.0,68.0
119,140,109,134,22.0,68.0
340,404,317,389,22.0,68.0
210,240,200,231,22.0,68.0
168,199,150,188,22.0,68.0
110,129,103,123,22.0,68.0
78,94,71,91,28.0,72.0
153,200,147,194,28.0,72.0
570,774,548,734,30.0,68.0
94,121,87,115,30.0,68.0
1254,1465,1181,1373,30.0,68.0
1186,1380,1162,1317,30.0,68.0
254,288,240,270,30.0,68.0
448,506,420,477,30.0,68.0
1291,1984,1263,1912,24.0,59.0
989,1609,994,1587,24.0,59.0
235,254,221,242,24.0,59.0
51,120,54,119,24.0,59.0
143,161,137,154,24.0,59.0
357,419,333,388,31.0,53.0
277,338,255,311,19.0,53.0
252,358,231,349,28.0,83.0
19,25,19,24,29.0,74.0
47,163,32,114,29.0,74.0
187,215,171,194,31.0,86.0
57,545,55,523,23.0,104.0
1088,1986,1131,1824,12.0,115.0
739,1447,837,1347,16.0,108.0
53,360,49,339,23.0,100.0
12,100,13,86,23.0,114.0
356,1936,357,1795,23.0,100.0
384,861,365,797,23.0,104.0
374,711,373,668,16.0,104.0
842,1898,874,1779,12.0,115.0
181,272,210,256,16.0,108.0
231,730,251,655,12.0,115.0
2,4,2,4,12.0,115.0
918,2117,961,1986,12.0,115.0
398,1406,419,1289,12.0,115.0
281,489,324,474,16.0,108.0
